timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
399601247,399601219,0.32956758,4.652242e-06,-1.0790156,5.2780123,0.024509957,5.248642,1
399698720,399698690,0.32937586,4.6294713e-06,0.11658262,5.15917,0.00029271515,5.133499,1
399803558,399803477,0.32951704,4.6093473e-06,-0.5534025,5.2123313,0.006528414,5.1705914,1
399900871,399900843,0.32947937,4.5882384e-06,0.121871285,5.2212596,0.00031607124,5.195468,1
400001433,400001344,0.3295036,4.56638e-06,-0.6668099,5.1012883,0.009684601,5.0725307,1
400103438,400103408,0.3293389,4.5536353e-06,0.54275715,5.679321,0.005763313,5.653039,1
400204605,400204574,0.3293784,4.5356296e-06,0.32841784,5.4695115,0.0021911012,5.4261894,1
400296588,400296560,0.3291119,4.5191464e-06,2.0424223,5.4633803,0.08483736,5.456059,1
400401349,400401319,0.32906845,4.5014126e-06,-0.8377923,5.6146708,0.013890117,5.585955,1
400499100,400498986,0.32879353,4.4873987e-06,3.2682257,5.555605,0.21362409,5.5754023,1
400603694,400603664,0.32897213,4.477627e-06,-1.501858,5.8105083,0.04313215,5.7788353,1
400701485,400701330,0.32908562,4.461568e-06,-3.268767,5.7498107,0.2064771,5.771835,1
400801862,400801777,0.32910988,4.4446274e-06,-1.6379497,5.605149,0.053182833,5.583569,1
400899414,400899386,0.32902467,4.424894e-06,0.5764029,5.476476,0.0067407563,5.449765,1
401004103,401004071,0.3292375,4.4008034e-06,-0.9030894,5.3536024,0.016926723,5.313553,1
401101687,401101659,0.32965323,4.3693776e-06,-1.0360777,5.598472,0.021304565,5.5712314,1
401201657,401201627,0.32978377,4.344273e-06,-1.1129302,5.4751244,0.025136184,5.4468274,1
401299295,401299267,0.32951617,4.3244704e-06,2.3204393,5.502932,0.108718574,5.501896,1
401404265,401404182,0.32968727,4.3075283e-06,-1.2945336,5.774479,0.032245666,5.747027,1
401502223,401502187,0.32956314,4.291762e-06,-2.0773077,5.7444487,0.08346623,5.731531,1
