timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
382273026,2162698,2162698,1114122,0,0,0.07963947,0.07963951,0.0,0.0,2162698,2162698,2228234,0,0,0.003337213,0.003337213,0.0,0.0,1,1,0,0,1,1,0,0
382470768,2162698,2162698,1114122,0,0,0.065594785,0.06559477,0.0,0.0,2162698,2162698,2228234,0,0,0.0025265168,0.0025265168,0.0,0.0,1,1,0,0,1,1,0,0
382673053,2162698,2162698,1114122,0,0,0.17483097,0.17483103,0.0,0.0,2162698,2162698,2228234,0,0,0.0044966997,0.0044967,0.0,0.0,1,1,0,0,1,1,0,0
382870882,2162698,2162698,1114122,0,0,0.22424774,0.22424783,0.0,0.0,2162698,2162698,2228234,0,0,0.0032702556,0.0032702554,0.0,0.0,1,1,0,0,1,1,0,0
383068830,2162698,2162698,1114122,0,0,0.26628006,0.26628,0.0,0.0,2162698,2162698,2228234,0,0,0.004127217,0.0041272175,0.0,0.0,1,1,0,0,1,1,0,0
383271192,2162698,2162698,1114122,0,0,0.059323095,0.05932306,0.0,0.0,2162698,2162698,2228234,0,0,0.002691294,0.002691294,0.0,0.0,1,1,0,0,1,1,0,0
383468978,2162698,2162698,1114122,0,0,0.0439348,0.043934826,0.0,0.0,2162698,2162698,2228234,0,0,0.0023397626,0.0023397622,0.0,0.0,1,1,0,0,1,1,0,0
383671371,2162698,2162698,1114122,0,0,0.123862065,0.123862036,0.0,0.0,2162698,2162698,2228234,0,0,0.0030687824,0.0030687829,0.0,0.0,1,1,0,0,1,1,0,0
383873662,2162698,2162698,1114122,0,0,0.1031293,0.1031293,0.0,0.0,2162698,2162698,2228234,0,0,0.0037696706,0.003769671,0.0,0.0,1,1,0,0,1,1,0,0
384071725,2162698,2162698,1114122,0,0,0.25174615,0.25174618,0.0,0.0,2162698,2162698,2228234,0,0,0.0026398178,0.0026398178,0.0,0.0,1,1,0,0,1,1,0,0
384269517,2162698,2162698,1114122,0,0,0.13703893,0.137039,0.0,0.0,2162698,2162698,2228234,0,0,0.003655946,0.0036559463,0.0,0.0,1,1,0,0,1,1,0,0
384471880,2162698,2162698,1114122,0,0,0.1391226,0.13912266,0.0,0.0,2162698,2162698,2228234,0,0,0.0016104928,0.0016104928,0.0,0.0,1,1,0,0,1,1,0,0
384669716,2162698,2162698,1114122,0,0,0.14424475,0.14424466,0.0,0.0,2162698,2162698,2228234,0,0,0.0034485355,0.0034485355,0.0,0.0,1,1,0,0,1,1,0,0
384872091,2162698,2162698,1114122,0,0,0.09883454,0.09883451,0.0,0.0,2162698,2162698,2228234,0,0,0.0014812531,0.001481253,0.0,0.0,1,1,0,0,1,1,0,0
385074364,2162698,2162698,1114122,0,0,0.09044396,0.09044408,0.0,0.0,2162698,2162698,2228234,0,0,0.0013875731,0.0013875731,0.0,0.0,1,1,0,0,1,1,0,0
385272150,2162698,2162698,1114122,0,0,0.31555015,0.3155502,0.0,0.0,2162698,2162698,2228234,0,0,0.0070429337,0.0070429337,0.0,0.0,1,1,0,0,1,1,0,0
385470116,2162698,2162698,1114122,0,0,0.025938964,0.025938902,0.0,0.0,2162698,2162698,2228234,0,0,0.0037007,0.0037006997,0.0,0.0,1,1,0,0,1,1,0,0
385672460,2162698,2162698,1114122,0,0,0.15738669,0.15738668,0.0,0.0,2162698,2162698,2228234,0,0,0.0010581359,0.0010581362,0.0,0.0,1,1,0,0,1,1,0,0
385870281,2162698,2162698,1114122,0,0,0.1400586,0.14005867,0.0,0.0,2162698,2162698,2228234,0,0,0.0018361028,0.0018361029,0.0,0.0,1,1,0,0,1,1,0,0
386068338,2162698,2162698,1114122,0,0,0.11708876,0.11708876,0.0,0.0,2162698,2162698,2228234,0,0,0.003345128,0.003345127,0.0,0.0,1,1,0,0,1,1,0,0
386270490,2162698,2162698,1114122,0,0,0.10857401,0.10857406,0.0,0.0,2162698,2162698,2228234,0,0,0.002605276,0.0026052764,0.0,0.0,1,1,0,0,1,1,0,0
