timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
395257037,0,0.0,-0.0,0.0,0.23012048,0.0,0.0,0.0,0.0
395354769,0,0.0,-0.0,0.0,0.23253012,0.0,0.0,0.0,0.0
395462159,0,0.0,-0.0,0.0,0.3120482,0.0,0.0,0.0,0.0
395525775,0,0.0,-0.0,0.0,0.31325302,0.0,0.0,0.0,0.0
395654060,0,0.0,-0.0,0.0,0.27228916,0.0,0.0,0.0,0.0
395761646,0,0.0,-0.0,0.0,0.20963855,0.0,0.0,0.0,0.0
395847522,0,0.0,-0.0,0.0,0.21084337,0.0,0.0,0.0,0.0
395958556,0,0.0,-0.0,0.0,0.21204819,0.0,0.0,0.0,0.0
396045580,0,0.0,-0.0,0.0,0.21686748,0.0,0.0,0.0,0.0
396346812,0,0.0,-0.0,0.0,0.21686748,0.0,0.0,0.0,0.0
396538579,0,0.0,-0.0,0.0,0.21686748,0.0,0.0,0.0,0.0
396841007,0,0.0,-0.0,0.0,0.21686748,0.0,0.0,0.0,0.0
397142778,0,0.0,-0.0,0.0,0.21686748,0.0,0.0,0.0,0.0
397380653,0,0.0,-0.0,0.0,0.21686748,0.0,0.0,0.0,0.0
397465918,0,0.0,-0.0,0.0,0.21566264,0.0,0.0,0.0,0.0
397486215,0,0.0,-0.0,0.0,0.21204819,0.0,0.0,0.0,0.0
397573882,0,0.0,-0.0,0.0,0.19638555,0.0,0.0,0.0,0.0
397677710,0,0.0,-0.0,0.0,0.19156626,0.0,0.0,0.0,0.0
397722904,0,0.0,-0.0,0.0,0.1879518,0.0,0.0,0.0,0.0
397787499,0,0.0,-0.0,0.0,0.18674698,0.0,0.0,0.0,0.0
398001075,0,0.0,-0.0,0.0,0.18554217,0.0,0.0,0.0,0.0
398068484,0,0.0,-0.0,0.0,0.118072286,0.0,0.0,0.0,0.0
398175445,0,0.0,-0.0,0.0,0.14578313,0.0,0.0,0.0,0.0
398198037,0,0.0,-0.0,0.0,0.15060242,0.0,0.0,0.0,0.0
398368886,0,0.0,-0.0,0.0,0.15542169,0.0,0.0,0.0,0.0
398410285,0,0.0,-0.0,0.0,0.16626506,0.0,0.0,0.0,0.0
398575789,0,0.0,-0.0,0.0,0.10361446,0.0,0.0,0.0,0.0
398680643,0,0.0,-0.0,0.0,0.112048194,0.0,0.0,0.0,0.0
398767691,0,0.0,-0.0,0.0,0.12048193,0.0,0.0,0.0,0.0
398873736,0,0.0,-0.0,0.0,0.11686747,0.0,0.0,0.0,0.0
398917360,0,0.0,-0.0,0.0,0.12891567,0.0,0.0,0.0,0.0
399220081,0,0.0,-0.0,0.0,0.12891567,0.0,0.0,0.0,0.0
399521084,0,0.0,-0.0,0.0,0.12891567,0.0,0.0,0.0,0.0
399627816,0,0.0,-0.0,0.0,0.12891567,0.0,0.0,0.0,0.0
399930167,0,0.0,-0.0,0.0,0.12891567,0.0,0.0,0.0,0.0
400249847,0,0.0,-0.0,0.0,0.12771085,0.0,0.0,0.0,0.0
400271136,0,0.0,-0.0,0.0,0.119277105,0.0,0.0,0.0,0.0
400315465,0,0.0,-0.0,0.0,0.112048194,0.0,0.0,0.0,0.0
400425345,0,0.0,-0.0,0.0,0.097590365,0.0,0.0,0.0,0.0
400488214,0,0.0,-0.0,0.0,0.08192771,0.0,0.0,0.0,0.0
400684969,0,0.0,-0.0,0.0,0.08313253,0.0,0.0,0.0,0.0
400789580,0,0.0,-0.0,0.0,0.084337346,0.0,0.0,0.0,0.0
400834522,0,0.0,-0.0,0.0,0.11686747,0.0,0.0,0.0,0.0
400942059,0,0.0,-0.0,0.0,0.16024096,0.0,0.0,0.0,0.0
401027753,0,0.0,-0.0,0.0,0.21445782,0.0,0.0,0.0,0.0
401138987,0,0.0,-0.0,0.0,0.2313253,0.0,0.0,0.0,0.0
401245737,0,0.0,-0.0,0.0,0.2433735,0.0,0.0,0.0,0.0
401311392,0,0.0,-0.0,0.0,0.2686747,0.0,0.0,0.0,0.0
401438939,0,0.0,-0.0,0.0,0.2746988,0.0,0.0,0.0,0.0
401505232,0,0.0,-0.0,0.0,0.27951807,0.0,0.0,0.0,0.0
401638059,0,0.0,-0.0,0.0,0.23855421,0.0,0.0,0.0,0.0
401702223,0,0.0,-0.0,0.0,0.20843373,0.0,0.0,0.0,0.0
401827573,0,0.0,-0.0,0.0,0.16626506,0.0,0.0,0.0,0.0
401996603,0,0.0,-0.0,0.0,0.16746987,0.0,0.0,0.0,0.0
402305054,0,0.0,-0.0,0.0,0.16746987,0.0,0.0,0.0,0.0
402390737,0,0.0,-0.0,0.0,0.16987951,0.0,0.0,0.0,0.0
402413338,0,0.0,-0.0,0.0,0.18674698,0.0,0.0,0.0,0.0
402456556,0,0.0,-0.0,0.0,0.2,0.0,0.0,0.0,0.0
402585704,0,0.0,-0.0,0.0,0.2060241,0.0,0.0,0.0,0.0
402628780,0,0.0,-0.0,0.0,0.21686748,0.0,0.0,0.0,0.0
402828483,0,0.0,-0.0,0.0,0.21566264,0.0,0.0,0.0,0.0
402894095,0,0.0,-0.0,0.0,0.19759037,0.0,0.0,0.0,0.0
403002109,0,0.0,-0.0,0.0,0.17349398,0.0,0.0,0.0,0.0
403045637,0,0.0,-0.0,0.0,0.14096385,0.0,0.0,0.0,0.0
