timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
403072689,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
403573553,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
404079317,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
404587807,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
405091778,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
405599621,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
406106654,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
406613551,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
407116645,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
407623344,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
408133481,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
408638547,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
409143636,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
409647479,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
410154799,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
410660653,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
411167857,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
411670262,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
412177296,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
412682408,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
413186478,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
413694500,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
414199596,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
414704279,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
415205523,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
415705584,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
416213903,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
416722340,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
417225585,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
417729577,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
418233557,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
418741009,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
419246478,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
419257988,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
419766515,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
420272824,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
420782565,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
421289360,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
421796520,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
422302613,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
422809613,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
423316296,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
423817663,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
424280029,174959844,0,0,375287553,304709676,304185356,305102895,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
424482812,174959844,0,0,375287553,304709676,304185356,305102895,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
424985801,174959844,0,0,375287553,304709676,304185356,305102895,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
