timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
398871893,22.678684,22.683079,0.0,3.5e-44,-1.0,0.000497488,0.5393272,1.083164,nan,6,3.780513,3.780513,3.780513,3.780513,3.780513,3.780513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
399070736,22.686897,22.665781,0.0,3.5e-44,-1.0,0.000497488,0.53694826,1.0836294,nan,6,3.77763,3.77763,3.77763,3.77763,3.77763,3.77763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
399272412,22.580118,22.666426,0.0,3.5e-44,-1.0,0.000497488,0.5371328,1.0835932,nan,6,3.7777376,3.7777376,3.7777376,3.7777376,3.7777376,3.7777376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
399470589,22.555475,22.665245,0.0,3.5e-44,-1.0,0.000497488,0.5370317,1.083613,nan,6,3.777541,3.777541,3.777541,3.777541,3.777541,3.777541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
399670541,22.933315,22.666874,0.0,3.5e-44,-1.0,0.000497488,0.5376101,1.0834999,nan,6,3.7778122,3.7778122,3.7778122,3.7778122,3.7778122,3.7778122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
399870648,22.703327,22.666021,0.0,3.5e-44,-1.0,0.000497488,0.5368672,1.0836452,nan,6,3.7776701,3.7776701,3.7776701,3.7776701,3.7776701,3.7776701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
400070545,22.999027,22.670631,0.0,3.5e-44,-1.0,0.000497488,0.5376983,1.0834826,nan,6,3.7784386,3.7784386,3.7784386,3.7784386,3.7784386,3.7784386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
400270603,22.604757,22.667326,0.0,3.5e-44,-1.0,0.000497488,0.53677326,1.0836636,nan,6,3.7778876,3.7778876,3.7778876,3.7778876,3.7778876,3.7778876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
400470727,22.61297,22.68488,0.0,3.5e-44,-1.0,0.000497488,0.53933054,1.0831634,nan,6,3.7808132,3.7808132,3.7808132,3.7808132,3.7808132,3.7808132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
400670868,22.481548,22.695608,0.0,3.5e-44,-1.0,0.000497488,0.54025227,1.0829831,nan,6,3.7826014,3.7826014,3.7826014,3.7826014,3.7826014,3.7826014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
400870538,22.588331,22.683926,0.0,3.5e-44,-1.0,0.000497488,0.5381771,1.0833889,nan,6,3.7806542,3.7806542,3.7806542,3.7806542,3.7806542,3.7806542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
401071255,22.604757,22.63422,0.0,3.5e-44,-1.0,0.000497488,0.5301457,1.0849624,nan,6,3.77237,3.77237,3.77237,3.77237,3.77237,3.77237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
401270601,22.85939,22.630375,0.0,3.5e-44,-1.0,0.000497488,0.5318857,1.0846211,nan,6,3.7717292,3.7717292,3.7717292,3.7717292,3.7717292,3.7717292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
401471351,22.596544,22.634129,0.0,3.5e-44,-1.0,0.000497488,0.53280073,1.0844418,nan,6,3.7723548,3.7723548,3.7723548,3.7723548,3.7723548,3.7723548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
