timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
372569182,372568137,0.99952483,-0.0026806798,-0.001587358,-0.030667149,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372622940,372622097,0.9995265,-0.0026831944,-0.0015782993,-0.030613584,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372672610,372671567,0.9995288,-0.0027264324,-0.0015808808,-0.030533664,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372722028,372721031,0.9995277,-0.0027371193,-0.0015974136,-0.030570269,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372771500,372770487,0.99952745,-0.0027513218,-0.0015959665,-0.030576255,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372820865,372819979,0.9995291,-0.002757848,-0.0015506002,-0.03052166,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372870316,372869414,0.9995303,-0.0027965244,-0.0016093674,-0.030478029,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372919824,372918878,0.9995292,-0.0028408514,-0.0016629965,-0.030505642,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
372973886,372972838,0.99953,-0.0027758274,-0.0016465497,-0.030487396,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373023422,373022318,0.9995327,-0.0027600268,-0.0016045752,-0.030403208,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373072769,373071765,0.99953294,-0.0027780498,-0.0016328893,-0.030390343,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373122105,373121229,0.99953014,-0.0028003512,-0.0016452605,-0.030482378,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373171669,373170700,0.9995299,-0.0027958166,-0.0016460049,-0.030489713,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373221037,373220159,0.99953175,-0.002736777,-0.001621117,-0.030434633,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373270556,373269619,0.9995319,-0.0027638008,-0.0016472903,-0.030424625,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373324679,373323579,0.9995301,-0.0028373096,-0.0016367701,-0.030480413,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373373927,373373043,0.99953085,-0.0028486755,-0.0016541444,-0.0304501,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373423879,373422513,0.9995333,-0.0028765514,-0.0016413083,-0.030370858,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373468379,373467473,0.99953103,-0.0028637673,-0.001615824,-0.03044539,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373522353,373521432,0.9995305,-0.0029203543,-0.0016441698,-0.030457558,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373571804,373570897,0.99953175,-0.0029315955,-0.0016385621,-0.030416535,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373621351,373620366,0.99953467,-0.0029337883,-0.0015872831,-0.030323027,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373675292,373674320,0.9995364,-0.002888737,-0.0015559733,-0.030270914,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373720314,373719291,0.99953383,-0.0029340426,-0.001596864,-0.030348027,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373769764,373768773,0.9995346,-0.0029734506,-0.0016106768,-0.030319318,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373819220,373818214,0.9995366,-0.0029839901,-0.0015918148,-0.030252803,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373873031,373872174,0.9995364,-0.0029325532,-0.0015667087,-0.03026386,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373922563,373921638,0.99953467,-0.002978559,-0.0016271048,-0.030317154,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
373972032,373971142,0.9995345,-0.00295116,-0.0016501521,-0.030319959,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374021414,374020565,0.9995356,-0.002956578,-0.0016651206,-0.03028548,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374070879,374070029,0.99953514,-0.0029315155,-0.0016362144,-0.030303717,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374120400,374119499,0.99953467,-0.002878533,-0.001592588,-0.030327339,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374170001,374168956,0.9995346,-0.0028752163,-0.0016066747,-0.030327508,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374224003,374222919,0.99953496,-0.0028489435,-0.0016460855,-0.030314844,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374273279,374272388,0.99953645,-0.002847233,-0.0016225567,-0.030269433,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374322780,374321843,0.9995363,-0.0028349936,-0.001560476,-0.030278537,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374372162,374371314,0.99953616,-0.002866774,-0.0016168815,-0.030277673,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374421782,374420770,0.9995356,-0.0029329862,-0.0016616301,-0.030287076,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374471141,374470234,0.9995361,-0.0029294898,-0.0016478634,-0.030271193,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374520827,374519698,0.9995371,-0.002958262,-0.0016423707,-0.030235073,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374574696,374573657,0.9995376,-0.0029587522,-0.0016350874,-0.030219695,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374624254,374623121,0.99953777,-0.0029850893,-0.0016893657,-0.030209081,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374669210,374668088,0.9995368,-0.0029759705,-0.0016718707,-0.0302436,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374722895,374722050,0.9995355,-0.0029031483,-0.0016232004,-0.030297462,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374772475,374771512,0.9995371,-0.0029130029,-0.0016000443,-0.03024389,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374822032,374820991,0.9995399,-0.0029009387,-0.0016413109,-0.030147575,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374871445,374870453,0.99953973,-0.002912017,-0.0016562847,-0.030153483,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374920851,374919944,0.9995359,-0.0029206497,-0.0016517113,-0.030277193,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
374970304,374969366,0.99953157,-0.0028919787,-0.0016811724,-0.030423807,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375019785,375018833,0.9995338,-0.0029185866,-0.0016175244,-0.030351602,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375069193,375068299,0.99954087,-0.0028263037,-0.0015593161,-0.030128634,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375123213,375122269,0.99953383,-0.0027274247,-0.001662388,-0.030365441,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375172613,375171717,0.99953806,-0.0028099206,-0.0015774228,-0.030221893,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375222166,375221182,0.99953485,-0.0026824272,-0.0015947206,-0.030338908,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375271584,375270644,0.9995375,-0.0025989264,-0.0015303927,-0.03026179,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375320987,375320108,0.99953884,-0.0025849831,-0.0016016485,-0.030214699,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375370598,375369572,0.99953943,-0.0025323979,-0.0016048927,-0.030200846,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375424662,375423540,0.99953634,-0.002331676,-0.0015585022,-0.030319346,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375473884,375472995,0.99953717,-0.0023881434,-0.0014753183,-0.030293947,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375523488,375522459,0.9995374,-0.0023948117,-0.0015787374,-0.030280573,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375568320,375567426,0.99954444,-0.0021804352,-0.0015652339,-0.030064072,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375622381,375621392,0.9995514,-0.0020942553,-0.0013387186,-0.029847736,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375671743,375670850,0.99955195,-0.0018937535,-0.0010661681,-0.02985361,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375721506,375720313,0.9995473,-0.0019845217,-0.0011907466,-0.029996261,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375770702,375769781,0.9995452,-0.00210414,-0.0014297371,-0.030050922,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375820161,375819241,0.99954265,-0.002548564,-0.0018670597,-0.030078016,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375869842,375868732,0.9995423,-0.0030392625,-0.0023377656,-0.030008435,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375919073,375918168,0.9995388,-0.0035194873,-0.0032460168,-0.02998898,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
375973215,375972128,0.9995313,-0.003484411,-0.0047929958,-0.03003393,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376022592,376021592,0.9995243,-0.003137333,-0.0064232238,-0.030002126,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376071959,376071077,0.99951005,-0.0031826247,-0.00796195,-0.03010359,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376121900,376120528,0.99949986,-0.0036347636,-0.00840766,-0.030267283,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376170868,376169983,0.9994867,-0.0040340004,-0.008842962,-0.030527674,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376220361,376219447,0.9994793,-0.0041720658,-0.00871139,-0.03078935,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376269857,376268910,0.99946886,-0.0036341453,-0.00861376,-0.031220436,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376324095,376322876,0.99946374,-0.0009346815,-0.0086705,-0.031562354,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376373266,376372334,0.99945617,0.0013476855,-0.008241719,-0.03190259,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376422734,376421798,0.99944454,0.0030024925,-0.007814411,-0.03225784,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376472336,376471262,0.9994376,0.0035465246,-0.007410405,-0.03251372,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376521742,376520726,0.9994341,0.00298533,-0.0068244874,-0.032803368,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376571119,376570189,0.9994333,0.0018666739,-0.0062211165,-0.033030223,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376620713,376619653,0.99943274,0.0009989357,-0.006579242,-0.033013333,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376674537,376673613,0.99942064,0.0010957248,-0.00825553,-0.03300123,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376724422,376723082,0.99940294,0.0009532825,-0.010083898,-0.033033308,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376769023,376768043,0.99938726,0.0014500952,-0.011663723,-0.032971337,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376822839,376822004,0.9993704,0.0015435438,-0.012912912,-0.033011895,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376872441,376871468,0.9993632,0.0018937704,-0.01317184,-0.033109374,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376921832,376920935,0.99936485,0.0025008153,-0.013063182,-0.03306241,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
376971356,376970405,0.99936587,0.0032262362,-0.013115379,-0.03294921,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377020799,377019898,0.9993587,0.004890241,-0.01341336,-0.032838736,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377070206,377069323,0.9993542,0.0065528085,-0.013416797,-0.032685652,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377119668,377118786,0.9993445,0.008025756,-0.013622261,-0.03256701,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377173642,377172747,0.9993326,0.0090257,-0.014040344,-0.032494415,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377223154,377222224,0.99932325,0.009739387,-0.014439887,-0.032399908,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377272574,377271674,0.99932426,0.010061742,-0.014295452,-0.032334685,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377322022,377321138,0.99933934,0.00987158,-0.013336729,-0.03233757,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377371577,377370601,0.9993572,0.00918306,-0.0125352405,-0.032307945,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377421089,377420065,0.9993722,0.008429115,-0.012157468,-0.032193035,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377470473,377469529,0.9993847,0.0075502307,-0.011944098,-0.032103054,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
377524704,377523493,0.9993939,0.0069410554,-0.011970908,-0.031945266,0.99999994,-3.8776156e-11,-1.8504574e-10,-0.00032197696,3
