timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
368678514,-0.0186172,0.0014097298,0.013695268,4486,0,-0.14351714,0.0059750397,-9.936031,4486,0
368683016,-0.01000818,0.007817972,0.0147166625,4502,0,-0.18406194,0.34301332,-9.925572,4502,0
368687509,-0.018524664,0.0013574538,0.016491877,4493,0,0.0712765,0.0628536,-9.955323,4493,0
368692004,-0.013094605,0.00469454,0.008772431,4495,0,-0.034173463,0.64113563,-10.077111,4495,0
368696503,0.0028835454,0.0035237444,0.00140546,4499,0,0.12283176,0.5829992,-10.0184145,4499,0
368700997,-0.009362673,-0.017571446,0.0012451852,4494,0,0.24816063,0.32168642,-9.488438,4494,0
368705503,8.052549e-05,-0.0051673674,-0.0037443775,4506,0,-0.33901855,0.55941284,-9.810672,4506,0
368709990,0.012013855,0.0076242965,-0.0059039197,4487,0,-0.18913843,-0.018373903,-10.594186,4487,0
368718997,0.0018817288,0.009085648,0.005348332,4498,0,-0.2925157,-0.190124,-9.713652,4498,0
368723484,0.005025253,0.012110641,0.013655834,4487,0,-0.16328545,-0.58563846,-10.502855,4487,0
368727976,-0.021767972,0.0040086233,0.019487059,4492,0,-0.2107734,-0.50267106,-10.115845,4492,0
368732476,-0.01063791,0.01907405,0.017299403,4500,0,-0.2613835,0.7351915,-9.607004,4500,0
368736976,0.0066018654,0.0049532615,0.018900782,4500,0,0.35209298,0.31171098,-10.011525,4500,0
368741466,-0.024031498,0.0027436127,0.008267419,4490,0,-0.041517947,0.3527954,-10.1248665,4490,0
368745963,-0.002220645,0.013699082,-0.0038249467,4497,0,0.053140372,0.9809691,-9.853368,4497,0
368750459,0.0044204993,-0.005604304,-0.0058713853,4496,0,0.6451885,0.22276287,-9.578754,4496,0
368754956,-0.01953223,-0.0041109733,-0.012830829,4497,0,0.0036967446,0.4763686,-9.576673,4497,0
368759493,0.01877609,0.004224183,-0.014667729,4537,0,-0.110144325,0.3892191,-10.29152,4537,0
368763961,0.0035300797,-0.0050748144,-0.008269742,4468,0,-0.056774594,-1.0247707,-9.826245,4468,0
368768464,-0.021540016,0.008770675,-0.0086344285,4503,0,-0.37956855,-0.48681703,-9.931969,4503,0
368772943,0.010290399,0.008337695,0.00061180885,4479,0,-0.3153106,-0.4239539,-10.23959,4479,0
368777444,-0.017847875,0.007395635,0.006643239,4501,0,-0.12541312,-0.93628377,-10.008575,4501,0
368781936,-0.025656536,0.00988714,0.0035738118,4492,0,-0.16830069,0.33345106,-9.643099,4492,0
368786432,0.01599311,0.0040415833,0.0053397156,4496,0,0.24736033,0.57542676,-9.638221,4496,0
368790947,-0.028469384,-0.0028876336,-0.004202383,4515,0,0.17003536,-0.19219014,-9.944599,4515,0
368795426,-0.019566083,0.0036853938,-0.01237141,4479,0,-0.015292594,0.9827578,-10.2595,4479,0
368799933,0.016079148,-0.002536419,-0.015964914,4507,0,0.40303823,0.40666017,-9.821545,4507,0
368804419,-0.021135729,-0.0068759657,-0.022693723,4486,0,0.2105477,0.09755984,-9.416569,4486,0
368808926,0.006539374,-0.0069669667,-0.024345124,4507,0,-0.058085162,0.44293484,-10.313118,4507,0
368813413,0.009746561,-0.0017765987,-0.019814817,4487,0,-0.18243031,-0.7867552,-9.946188,4487,0
368817916,-0.027029326,0.0033161365,-0.011981467,4503,0,-0.121732526,-0.69725066,-9.698016,4503,0
368822405,0.0014751111,-0.0027811609,-0.003219877,4489,0,-0.30057955,-0.112174064,-10.195899,4489,0
368826909,-0.008910688,0.0059628803,0.0014940855,4504,0,-0.42247435,-0.7948201,-10.248791,4504,0
368831399,-0.030922981,0.010680718,0.0035049438,4490,0,-0.03552255,0.2141684,-9.602503,4490,0
368835896,0.012007737,-0.005591758,0.0053639533,4497,0,0.35827506,0.78083855,-9.676109,4497,0
368840403,-0.022141067,-0.0020204328,-0.0029736327,4507,0,0.044124715,0.057755984,-9.809423,4507,0
368844889,-0.021405077,0.0015536814,-0.012327101,4486,0,0.22483055,0.93481183,-9.808635,4486,0
368849394,0.010484019,-0.0071080406,-0.013902728,4505,0,0.42216104,0.5604691,-9.683242,4505,0
368853883,-0.015411456,-0.00024253529,-0.018948352,4489,0,0.008419473,0.22605486,-9.553521,4489,0
368858390,-0.0019505213,-0.0033935674,-0.015632821,4507,0,0.16045564,0.48511976,-9.902017,4507,0
368862880,0.01140811,-0.008000496,-0.009922499,4490,0,-0.13301168,-0.29995593,-10.142366,4490,0
368867379,-0.011344514,0.009598149,-0.0053496077,4499,0,-0.5178011,-0.75830305,-9.973004,4499,0
368871870,-0.012897137,-0.0034270813,0.006193977,4491,0,-0.119327106,-0.49294323,-9.732748,4491,0
368876366,-0.009459182,-0.000388594,0.013187013,4496,0,-0.5207774,-0.32267073,-10.386382,4496,0
368880863,-0.0101973815,0.02203357,0.013226142,4497,0,-0.32942894,0.18548054,-10.056452,4497,0
368885360,-0.0069208853,-0.00010783652,0.015364176,4497,0,0.5079773,0.112629704,-9.132737,4497,0
368889856,-0.012779071,0.0014314927,0.011074486,4496,0,0.0008878411,0.5624771,-9.715428,4496,0
368894353,-0.006189932,0.006201342,0.0039499635,4497,0,0.0027626443,0.55707085,-10.197792,4497,0
368898849,-0.0047400114,-0.013538652,-0.0034043794,4496,0,0.43480387,0.3711557,-9.903116,4496,0
368903352,-0.00035816574,-0.0011563263,-0.007990455,4503,0,-0.36316726,0.6236842,-9.993328,4503,0
368907848,0.0031320013,0.012159178,-0.008779007,4496,0,0.04814649,0.013363562,-9.988272,4496,0
368912340,-0.008429066,-0.005065499,-0.0011827504,4492,0,0.036123082,-0.2200336,-9.725212,4492,0
368916841,-0.00047684932,0.008558568,0.0017522275,4501,0,-0.3756993,-0.3859692,-9.988079,4501,0
368921333,-0.0031670765,-0.0006835397,0.011606792,4492,0,-0.2504843,-0.91352457,-9.867641,4492,0
368925847,-0.0083128065,0.0017488936,0.015376275,4514,0,-0.33482185,-0.36470157,-10.156332,4514,0
368930334,-0.0029966743,0.021012828,0.013163247,4487,0,-0.4710018,0.17083023,-9.8489685,4487,0
368934823,-0.0139102135,0.009709105,0.018034864,4489,0,0.55127037,0.23852351,-9.658362,4489,0
368939319,-0.010885751,0.00096455653,0.012997735,4496,0,0.072550565,0.6746783,-9.834107,4496,0
368943820,-0.005904434,0.0075626266,-0.0012314721,4501,0,0.11389875,0.5277955,-9.595298,4501,0
368948313,-0.0075717648,-0.0059342673,-0.00960244,4493,0,0.508808,0.21554485,-9.684576,4493,0
368952810,0.002981987,0.0017075238,-0.016515937,4497,0,-0.20168008,0.6807379,-10.266083,4497,0
368957309,0.00605217,0.014418743,-0.02023212,4499,0,0.012932313,0.15531078,-9.967211,4499,0
368961862,-0.015900472,-0.0020976358,-0.012903751,4553,0,0.12586652,-0.17315885,-9.758286,4553,0
368966300,0.0022950578,-0.006081417,-0.00290066,4438,0,-0.40662134,-0.34350273,-10.312187,4438,0
368970796,-0.0003107384,0.005152854,-0.0006200086,4496,0,-0.46795955,-1.2750177,-10.101378,4496,0
368975309,-0.020450499,0.0053574964,0.0054073064,4513,0,-0.2540997,-0.46267915,-10.070081,4513,0
368979790,0.0034505283,0.00863299,0.008342297,4481,0,-0.16229491,0.28720757,-10.055045,4481,0
368984290,-0.012031688,0.0074839005,0.0047357455,4500,0,0.30680677,0.057990737,-9.611482,4500,0
368988783,-0.019840157,0.0051923143,0.0011722425,4493,0,0.16760397,0.5738447,-9.905226,4493,0
368993298,0.00016607989,-0.0043019103,-0.0031139466,4515,0,0.1787946,0.49311578,-9.989235,4515,0
368997780,-0.012794434,-0.00408372,-0.018387984,4482,0,0.2182699,0.09230155,-9.713996,4482,0
369002277,-0.00014340943,-0.0048038005,-0.024099473,4497,0,0.09864578,0.5426439,-9.703942,4497,0
